imdb_id,revenue
tt1226251,42496749
tt0118556,34673095
tt1255953,7099598
tt0418753,709832
tt0120238,656747
tt1517177,59954
tt0220099,96159800
tt0416508,37407812
tt0120363,497375381
tt0419663,17986
tt3655522,60765
tt0080801,30031783
tt0316188,2816116
tt0844286,5530764
tt1533013,77247
tt1231587,64780213
tt2209764,23022309
tt0078754,37823676
tt0120338,659363944
tt0124198,9898412
tt1046163,41624687
tt0477392,252539
tt0324127,8725813
tt1735907,15364
tt0101540,79091969
tt0093744,3569939
tt2140479,86260045
tt1934269,128668
tt0244000,13678913
tt0367027,5526675
tt0405508,2197694
tt0119346,206272
tt0221809,32267
tt2910274,3325417
tt2397535,68372
tt0322589,62228395
tt3882082,73929392
tt1816518,8111137
tt0090315,5274
tt1625346,22939027
tt0092641,4278150
tt1714203,8518634
tt3202120,14454364
tt0458339,370569774
tt0099292,1244381
tt0037382,12459
tt0404390,9380029
tt0096101,21630088
tt0076666,94213184
tt0285462,8600126
tt0430916,64064
tt0337578,7885479
tt0106226,32255440
tt1746183,183640
tt0113451,9851610
tt0955308,321669741
tt0093754,215496
tt0120768,44547681
tt0103247,34793160
tt0460791,3669465
tt0235737,764554
tt3672840,74068
tt0770703,30426096
tt1334512,48147945
tt3322892,55668
tt0105793,183097323
tt1192628,245724603
tt0120823,2198044
tt0209077,1058905
tt1375666,836836967
tt0454084,945718
tt0090904,2390525
tt1659337,33384127
tt0329774,71022693
tt4581576,840809
tt0758730,41797066
tt0396652,27645491
tt0356634,75369589
tt0071360,4432180
tt0090184,14100000
tt1232783,27206120
tt0785035,8936663
tt0477302,55247881
tt1312254,19411
tt2125666,2495706
tt1699745,83135
tt0365830,8334575
tt0088001,21435321
tt0305206,7986084
tt0307453,374583879
tt0183505,90570999
tt0404203,5463019
tt0413300,894983373
tt0098627,30218387
tt0119978,45916769
tt0364343,551281
tt0094006,18553948
tt2309961,121179
tt0093104,183700
tt0061595,3488000
tt0190865,69243859
tt0139462,52880016
tt0498399,55033767
